
(RL-torch) C:\Users\kator\OneDrive\ドキュメント\ResearchFloodit\excute file>python floodit-torch-learning.py
pygame 2.0.1 (SDL 2.0.14, Python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html



**************************************************  FloodIt  **************************************************
action_space      : Discrete(6)
observation_space : Box(0, 5, (1, 6, 6), uint8)
reward_range      : (-inf, inf)

cnn_out_size= 512
cnn_out_size= 512
Episode: 20100,  Episode-Step: 1,  Reward: -0.5
Episode: 20200,  Episode-Step: 1,  Reward: -0.5
Episode: 20300,  Episode-Step: 2,  Reward: 0.4916666666666667
Episode: 20400,  Episode-Step: 2,  Reward: 2.075
Episode: 20500,  Episode-Step: 1,  Reward: -0.5
Episode: 20600,  Episode-Step: 3,  Reward: 2.0666666666666664
Episode: 20700,  Episode-Step: 1,  Reward: -0.5
Episode: 20800,  Episode-Step: 2,  Reward: 0.7416666666666667
Episode: 20900,  Episode-Step: 3,  Reward: -0.35
Episode: 21000,  Episode-Step: 4,  Reward: 2.0583333333333336
Episode: 21100,  Episode-Step: 1,  Reward: -0.5
Episode: 21200,  Episode-Step: 4,  Reward: 2.0583333333333336
Episode: 21300,  Episode-Step: 1,  Reward: -0.5
Episode: 21400,  Episode-Step: 1,  Reward: -0.5
Episode: 21500,  Episode-Step: 3,  Reward: 2.066666666666667
Episode: 21600,  Episode-Step: 1,  Reward: -0.5
Episode: 21700,  Episode-Step: 2,  Reward: 0.7416666666666667
Episode: 21800,  Episode-Step: 1,  Reward: -0.5
Episode: 21900,  Episode-Step: 1,  Reward: -0.5
Episode: 22000,  Episode-Step: 1,  Reward: -0.5
Episode: 22100,  Episode-Step: 3,  Reward: 2.15
Episode: 22200,  Episode-Step: 1,  Reward: -0.5
Episode: 22300,  Episode-Step: 1,  Reward: -0.5
Episode: 22400,  Episode-Step: 1,  Reward: -0.5
Episode: 22500,  Episode-Step: 2,  Reward: 1.9083333333333332
Episode: 22600,  Episode-Step: 2,  Reward: -0.425
Episode: 22700,  Episode-Step: 1,  Reward: -0.5
Episode: 22800,  Episode-Step: 1,  Reward: -0.5
Episode: 22900,  Episode-Step: 1,  Reward: -0.5
Episode: 23000,  Episode-Step: 1,  Reward: -0.5
Episode: 23100,  Episode-Step: 1,  Reward: -0.5
Episode: 23200,  Episode-Step: 1,  Reward: -0.5
Episode: 23300,  Episode-Step: 3,  Reward: -0.35
Episode: 23400,  Episode-Step: 2,  Reward: 0.575
Episode: 23500,  Episode-Step: 2,  Reward: -0.2583333333333333
Episode: 23600,  Episode-Step: 1,  Reward: -0.5
Episode: 23700,  Episode-Step: 1,  Reward: -0.5
Episode: 23800,  Episode-Step: 1,  Reward: -0.5
Episode: 23900,  Episode-Step: 2,  Reward: 2.158333333333333
Episode: 24000,  Episode-Step: 1,  Reward: -0.5
Episode: 24100,  Episode-Step: 1,  Reward: -0.5
Episode: 24200,  Episode-Step: 3,  Reward: 1.7333333333333334
Episode: 24300,  Episode-Step: 1,  Reward: -0.5
Episode: 24400,  Episode-Step: 1,  Reward: -0.5
Episode: 24500,  Episode-Step: 1,  Reward: -0.5
Episode: 24600,  Episode-Step: 2,  Reward: 1.7416666666666667
Episode: 24700,  Episode-Step: 1,  Reward: -0.5
Episode: 24800,  Episode-Step: 2,  Reward: -0.425
Episode: 24900,  Episode-Step: 1,  Reward: -0.5
Episode: 25000,  Episode-Step: 1,  Reward: -0.5
Episode: 25100,  Episode-Step: 1,  Reward: -0.5
Episode: 25200,  Episode-Step: 1,  Reward: -0.5
Episode: 25300,  Episode-Step: 1,  Reward: -0.5
Episode: 25400,  Episode-Step: 1,  Reward: -0.5
Episode: 25500,  Episode-Step: 1,  Reward: -0.5
Episode: 25600,  Episode-Step: 1,  Reward: -0.5
Episode: 25700,  Episode-Step: 1,  Reward: -0.5
Episode: 25800,  Episode-Step: 3,  Reward: 2.1500000000000004
Episode: 25900,  Episode-Step: 4,  Reward: -0.275
Episode: 26000,  Episode-Step: 2,  Reward: 2.325
Episode: 26100,  Episode-Step: 1,  Reward: -0.5
Episode: 26200,  Episode-Step: 1,  Reward: -0.5
Episode: 26300,  Episode-Step: 1,  Reward: -0.5
Episode: 26400,  Episode-Step: 2,  Reward: 0.825
Episode: 26500,  Episode-Step: 1,  Reward: -0.5
Episode: 26600,  Episode-Step: 2,  Reward: -0.3416666666666667
Episode: 26700,  Episode-Step: 1,  Reward: -0.5
Episode: 26800,  Episode-Step: 4,  Reward: 2.2250000000000005
Episode: 26900,  Episode-Step: 1,  Reward: -0.5
Episode: 27000,  Episode-Step: 1,  Reward: -0.5
Episode: 27100,  Episode-Step: 1,  Reward: -0.5
Episode: 27200,  Episode-Step: 1,  Reward: -0.5
Episode: 27300,  Episode-Step: 1,  Reward: -0.5
Episode: 27400,  Episode-Step: 2,  Reward: 0.575
Episode: 27500,  Episode-Step: 1,  Reward: -0.5
Episode: 27600,  Episode-Step: 1,  Reward: -0.5
Episode: 27700,  Episode-Step: 1,  Reward: -0.5
Episode: 27800,  Episode-Step: 2,  Reward: -0.425
Episode: 27900,  Episode-Step: 1,  Reward: -0.5
Episode: 28000,  Episode-Step: 1,  Reward: -0.5
Episode: 28100,  Episode-Step: 1,  Reward: -0.5
Episode: 28200,  Episode-Step: 3,  Reward: 2.0666666666666664
Episode: 28300,  Episode-Step: 1,  Reward: -0.5
Episode: 28400,  Episode-Step: 1,  Reward: -0.5
Episode: 28500,  Episode-Step: 1,  Reward: -0.5
Episode: 28600,  Episode-Step: 1,  Reward: -0.5
Episode: 28700,  Episode-Step: 1,  Reward: -0.5
Episode: 28800,  Episode-Step: 2,  Reward: 1.1583333333333334
Episode: 28900,  Episode-Step: 2,  Reward: 2.325
Episode: 29000,  Episode-Step: 2,  Reward: 0.9083333333333334
Episode: 29100,  Episode-Step: 1,  Reward: -0.5
Episode: 29200,  Episode-Step: 1,  Reward: -0.5
Episode: 29300,  Episode-Step: 1,  Reward: -0.5
Episode: 29400,  Episode-Step: 1,  Reward: -0.5
Episode: 29500,  Episode-Step: 1,  Reward: -0.5
Episode: 29600,  Episode-Step: 1,  Reward: -0.5
Episode: 29700,  Episode-Step: 1,  Reward: -0.5
